p,z,T,Td,u,v
965.0,350.0,27.8,23.8,-11.468656,19.864294886529652
962.0,378.0,27.4,22.8,-12.214049660704553,20.327592246720886
936.9,610.0,25.5,21.7,-17.170088628563903,24.521427850468996
925.0,722.0,24.6,21.2,-17.008599999999998,29.45975936561601
904.9,914.0,23.1,20.4,-14.360380604686835,39.45482144615117
889.0,1070.0,21.8,19.8,-9.57828534757688,45.0622896433865
877.0,1188.0,22.2,17.3,-5.9934309634619485,48.81257805858362
873.9,1219.0,22.0,17.0,-4.3540122478530225,49.76658771982353
853.0,1429.0,20.8,14.8,-0.8718644232365603,49.949079354446944
850.0,1460.0,21.0,14.0,-6.117929805520299e-15,49.956688
844.0,1521.0,21.4,11.4,1.7298954605898285,49.53772456241638
814.5,1829.0,19.6,8.6,12.175088065696432,45.43804724780457
814.0,1834.0,19.6,8.6,12.175088065696432,45.43804724780457
805.0,1930.0,18.8,13.8,13.63977154819787,44.61368248394848
794.0,2049.0,18.0,13.5,15.06188715236799,43.74289650623283
786.1,2134.0,17.6,12.7,15.756528719031374,43.29070686452698
783.0,2168.0,17.4,12.4,16.648977925554867,43.37207033219146
761.0,2412.0,16.4,7.4,24.125243704822775,43.523091751061585
758.7,2438.0,16.5,5.2,24.978344000000007,43.26376089693322
756.0,2468.0,16.6,2.6,24.978344000000007,43.26376089693322
743.0,2615.0,16.0,-1.0,24.978344000000007,43.26376089693322
737.0,2684.0,15.4,-0.6,24.978344000000007,43.26376089693322
731.9,2743.0,14.6,2.5,24.978344000000007,43.26376089693322
729.0,2777.0,14.2,4.2,25.269920000000006,43.76878534320092
710.0,2999.0,12.2,4.2,27.116568000000004,46.96727350289637
705.9,3048.0,12.0,4.0,27.505336000000007,47.64063943125331
702.0,3094.0,11.8,3.8,28.584660829237478,44.016517713465895
700.0,3118.0,11.6,2.6,29.211449484959378,41.71827335599271
697.0,3154.0,11.6,0.6,29.820828653702844,41.044849412425336
682.0,3335.0,10.4,2.4,31.3164326128209,38.67257358639407
675.0,3421.0,10.0,1.0,32.39195408598784,37.26268062867393
656.0,3658.0,8.0,-2.4,33.95021040487896,33.95021040487897
647.0,3772.0,7.0,-4.0,33.83490298865872,31.55155747492852
635.0,3925.0,6.0,-12.0,33.00828008445525,28.69366011554042
632.1,3962.0,5.7,-13.0,32.90839904990391,27.613425505409133
623.0,4081.0,4.8,-16.2,33.206212615966386,27.86332075885175
608.5,4267.0,3.1,-17.4,33.65293296506011,28.238163639015674
