    BUOY/CMAN STATIONS - MODIFIED BY KYLE J GILLETT & SCOTT THOMAS
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
WMO numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------


ID,LOC,LAT,A,LON,B,TYPE

41001*,    E HATTERAS,               34.70, N,    72.73, W, BUOY
41002*,    S HATTERAS,               32.38, N,    75.41, W, BUOY
41004*,    EDISTO,                   32.50, N,    79.10, W, BUOY
41008*,    GRAYS REEF,               31.40, N,    80.87, W, BUOY
41009*,    W CANAVERAL,              28.52, N,    80.17, W, BUOY
41010*,    E CANAVERAL,              28.91, N,    78.47, W, BUOY
41012*,    ST AUGUSTINE,             30.04, N,    80.53, W, BUOY
41013*,    FRYING PAN SHLS,          33.44, N,    77.74, W, BUOY
41025*,    DIAMOND SHLS,             35.01, N,    75.40, W, BUOY
41035*,    ONSLOW BAY,               34.48, N,    77.28, W, BUOY
41036*,    UNWC,                     34.21, N,    76.95, W, BUOY
41040*,    W ATLANTIC,               14.48, N,    53.01, W, BUOY
41041*,    M ATLANTIC,               14.36, N,    46.01, W, BUOY
41043*,    S ATLANTIC 1,             20.99, N,    65.01, W, BUOY
41044*,    S ATLANTIC 2,             21.65, N,    58.70, W, BUOY
41046*,    E BAHAMAS,                23.87, N,    70.87, W, BUOY
41047*,    NE BAHAMAS,               27.47, N,    71.49, W, BUOY
41048*,    W BERMUDA,                31.98, N,    69.65, W, BUOY
41049*,    S ATLANTIC,               27.50, N,    63.00, W, BUOY
42001*,    M GULF MEXICO,            25.90, N,    89.67, W, BUOY
42002*,    W GULF MEXICO,            25.79, N,    93.67, W, BUOY
42003*,    E GULF MEXICO,            25.97, N,    85.59, W, BUOY
42007*,    BILOXI,                   30.09, N,    88.77, W, BUOY
42012*,    ORANGE BCH,               30.07, N,    87.55, W, BUOY
42019*,    LANEILLE,                 27.90, N,    95.39, W, BUOY
42020*,    EILEEN,                   26.97, N,    96.70, W, BUOY
42035*,    GALVESTON,                29.23, N,    94.41, W, BUOY
42036*,    W TAMPA,                  28.50, N,    84.52, W, BUOY
