      RAOB STATION LISTING 20181221 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
WMO numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

WMO,ICAO,NAME,LOC,EL(m),LAT,A,LON,B,

01001, ENJA, JAN MAYEN,                  NO,    9,  70.93, N,    8.67, W
01004, ENAS, NY-ALESUND II,              NO,    8,  78.92, N,   11.93, E
01007, ----, NY-ALESUND,                 NO,   18,  78.92, N,   11.93, E
01008, ENSB, SVALBARD/LONGYE,            NO,   29,  78.25, N,   15.47, E
01010, ENAN, ANDOYA,                     NO,   14,  69.30, N,   16.15, E
01011, ----, KVITOYA,                    NO,   16,  80.10, N,   31.40, E
01025, ENTC, TROMSOE,                    NO,   10,  69.68, N,   18.92, E
01028, ENBJ, BJORNOYA ISLAND,            NO,   14,  74.52, N,   19.02, E
01088, ENVD, VADSO,                      NO,   39,  70.07, N,   29.85, E
01152, ENBO, BODO VI (CIV/MIL),          NO,   13,  67.25, N,   14.37, E
01240, ----, HALTEN,                     NO,   16,  64.17, N,    9.42, E
01241, ENOL, ORLAND III (NOR-AFB),       NO,    7,  63.70, N,    9.60, E
01384, ENGM, OSLO/GARDERMOEN,            NO,  204,  60.20, N,   11.08, E
01400, ENEK, EKOFISK,                    NO,   46,  56.53, N,    3.22, E
01415, ENZV, STAVANGER/SOLA (AFB),       NO,    9,  58.88, N,    5.63, E
01465, ----, TORUNGEN,                   NO,   15,  58.40, N,    8.80, E
01492, ----, OSLO/BLINDERN,              NO,   96,  59.57, N,   10.43, E
02120, ----, KVIKKJOKK,                  SW,  337,  66.95, N,   17.75, E
02185, ESPA, LULEA/KALLAX (AFB),         SW,   34,  65.55, N,   22.13, E
02188, ----, RODKALLEN,                  SW,    1,  65.32, N,   22.38, E
02225, ----, OSTERSUND/FROSON,           SW,  370,  63.18, N,   14.50, E
02365, ESNN, SUNDSVALL/HARNOSAND,        SW,    6,  62.53, N,   17.47, E
02527, ESGG, GOTEBORG/LANDVETTER,        SW,  164,  57.67, N,   12.50, E
02591, ESQV, VISBY AERO STATION,         SW,   47,  57.65, N,   18.35, E
02836, EFSO, SODANKYLA,                  FI,  179,  67.37, N,   26.65, E
02935, EFJY, JYVASKYLA (MIL/CIV),        FI,  145,  62.40, N,   25.68, E
02963, ----, JOKIOINEN,                  FI,  103,  60.82, N,   23.50, E
02982, ----, RUSSARO,                    FI,   11,  59.77, N,   22.95, E
03001, ----, MUCKLE FLUGGA (LH),         UK,   53,  60.85, N,    0.88, W
03005, ----, LERWICK/SHETLAND IS,        UK,   84,  60.13, N,    1.18, W
03008, ----, FAIR ISLE,                  UK,   59,  59.53, N,    1.63, W
03023, ----, WEST GEIRINISH,             UK,    3,  57.35, N,    7.37, W
03026, EGPO, STORNOWAY,                  UK,   13,  58.22, N,    6.32, W
03066, EGQK, KINLOSS RAF,                UK,    7,  57.65, N,    3.57, W
03085, ----, INCHMARLO,                  UK,   80,  57.07, N,    2.53, W
03091, EGPD, ABERDEEN/DYCE,              UK,   65,  57.20, N,    2.22, W
03121, ----, KILDONAN,                   UK,   18,  55.43, N,    5.10, W
03130, EGOY, WEST FREUGH,                UK,   16,  54.85, N,    4.95, W
03170, ----, SHANWELL,                   UK,    5,  56.43, N,    2.87, W
03171, EGQL, LEUCHARS RAF,               UK,   12,  56.38, N,    2.87, W
03213, ----, ESKMEALS,                   UK,    9,  54.32, N,    3.40, W
03238, ----, ALBERMARLE,                 UK,  146,  55.10, N,    1.93, W
03240, EGQM, BOULMER,                    UK,   23,  55.42, N,    1.60, W
03241, ----, LONG FRAMLINGTO,            UK,  158,  55.30, N,    1.80, W
03257, EGXE, LEEMING RAF,                UK,   40,  54.30, N,    1.53, W
03322, ----, AUGHTON,                    UK,   56,  53.55, N,    2.92, W
