---------------------
KABR,452721 / 0982447
KENX,423511 / 0740350
KABX,350859 / 1064926
KFDR,342144 / 0985835
KAMA,351400 / 1014233
KFFC,332149 / 0843357
KEWX,294214 / 0980142
KBBX,392946 / 1213754
KBLX,455114 / 1083624
KBGM,421159 / 0755905
KBMX,331020 / 0864611
KBIS,464615 / 1004538
KCBX,432926 / 1161408
KBOX,415721 / 0710813
KBRO,255458 / 0972508
KBUF,425656 / 0784412
KCXX,443040 / 0731001
KFDX,343807 / 1033748
KICX,373527 / 1125144
KCLX,323920 / 0810232
KRLX,381840 / 0814323
KCYS,410907 / 1044822
KLOT,413617 / 0880505
KILN,392513 / 0834918
KCLE,412447 / 0815135
KCAE,335655 / 0810706
KGWX,335348 / 0881944
KCRP,274703 / 0973040
KFWS,323423 / 0971811
KDVN,413642 / 0903451
KFTG,394712 / 1043245
KDMX,414352 / 0934322
KDTX,424159 / 0832818
KDDC,374539 / 0995808
KDOX,384932 / 0752623
KDLH,465013 / 0921235
KDYX,323218 / 0991516
KEYX,350552 / 1173339
KEVX,303352 / 0855517
KEPZ,315223 / 1064153
KLRX,404423 / 1164810
KBHX,402954 / 1241731
KFSX,343428 / 1111152
KHPX,364412 / 0871706
KGRK,304319 / 0972259
KPOE,310920 / 0925833
KEOX,312738 / 0852734
KSRX,351726 / 0942142
KIWX,412132 / 0854200
KAPX,445426 / 0844311
KGGW,481223 / 1063730
KGLD,392201 / 1014201
KMVX,473140 / 0971932
KGJX,390344 / 1081250
KGRR,425338 / 0853241
KTFX,472735 / 1112307
KGRB,442954 / 0880641
KGSP,345300 / 0821312
KRMX,432804 / 0752728
KUEX,401915 / 0982631
KHDX,330435 / 1060722
KCBW,460221 / 0674823
KHGX,292819 / 0950445
KHTX,345550 / 0860500
KIND,394227 / 0861649
KJKL,373527 / 0831847
KJAN,321904 / 0900448
KJAX,302905 / 0814207
KEAX,384837 / 0941552
KBYX,243551 / 0814211
KMRX,361007 / 0832406
KARX,434922 / 0911128
KLCH,300731 / 0931257
KESX,354204 / 1145329
KDFX,291622 / 1001650
KILX,400902 / 0892013
KLZK,345011 / 0921544
KVTX,342442 / 1191046
KLVX,375831 / 0855638
KLBB,333915 / 1014851
KMQT,463152 / 0873254
KMXX,323212 / 0854723
KMAX,420452 / 1224302
KMLB,280648 / 0803915
KNQA,352041 / 0895224
KAMX,253640 / 0802446
KMAF,315636 / 1021121
KMKX,425804 / 0883302
KMPX,445056 / 0933356
KMBX,482333 / 1005154
KMSX,470228 / 1135910
KMOB,304046 / 0881423
KVAX,302325 / 0830006
KMHX,344634 / 0765234
KOHX,361450 / 0863345
KLIX,302012 / 0894932
KOKX,405156 / 0725150
KAKQ,365902 / 0770026
KLNX,415728 / 1003435
KTLX,351959 / 0971640
KOAX,411913 / 0962200
KPAH,370406 / 0884619
KPDT,454126 / 1185110
KDIX,395649 / 0742439
KIWA,331721 / 1114012
KPBZ,403154 / 0801305
KSFX,430621 / 1124110
KGYX,435329 / 0701523
KRTX,454253 / 1225755
KPUX,382734 / 1041053
KRAX,353956 / 0782923
KUDX,440730 / 1024947
KRGX,394515 / 1192744
KRIW,430358 / 1082838
KFCX,370128 / 0801626
KJGX,324031 / 0832104
KDAX,383004 / 1214040
KLSX,384156 / 0904058
KMTX,411546 / 1122652
KSJT,312217 / 1002933
KNKX,325508 / 1170231
KMUX,370919 / 1215354
KHNX,361851 / 1193756
KSOX,334904 / 1173809
KATX,481140 / 1222945
KSHV,322703 / 0935029
KFSD,433516 / 0964346
KOTX,474049 / 1173736
KSGF,371407 / 0932402
KCCX,405523 / 0780013
KLWX,385831 / 0772840
KTLH,302351 / 0841944
KTBW,274220 / 0822406
KTWX,385949 / 0961357
KEMX,315337 / 1103749
KINX,361030 / 0953353
KVNX,364427 / 0980740
KVBX,345017 / 1202349
KICT,373917 / 0972634
KLTX,335922 / 0782544
KYUX,322943 / 1143924
