  ISU IEM BUFKIT STATION LISTING 20230730 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------
NUM numbers must be sequential.      Coordinates are in decimal degrees.
------------------------------------------------------------------------

NUM,LAT,LON,ID,NAME,LOC,EL(m),NOTE

000001,   69.58,  -140.18,  YAJ , KOMAKUK                          , YT,       19  ,0 MAGS 9-95
000002,   69.90,  -128.97,  WRP , NICHOLSON                        , NT,       15  ,0 MAGS 9-95
000003,   69.58,  -120.75,  WXK , CLINTON POINT                    , NT,       27  ,0 MAGS 9-95
000004,   65.00,  -132.00,  SRR , SNAKE RIVER                      , YT,       1506,0 MAGS 9-95
000005,   65.00,  -120.00,  CRR , CAMSELL RIVER                    , NT,       332 ,0 MAGS 9-95
000007,   65.10,  -102.43,  WTD , ROBERTSON LAKE                   , NT,       211 ,0 MAGS 9-95
000008,   60.00,  -140.00,  MTL , MT. LOGAN                        , YT,       569 ,0 MAGS 9-95
000009,   60.00,  -120.00,  EFL , E. FT. LIARD                     , NT,       437 ,0 MAGS 9-95
000010,   60.00,  -100.00,  ENL , ENNADAI LAKE                     , NT,       277 ,0 MAGS 9-95
000011,   57.00,  -127.00,  SWW , WARE                             , BC,       1744,0 MAGS 9-95
000012,   70.20,  -148.47,  PASC, DEADHORSE                        , AK,       17  ,0 TAF 2-99
000014,   53.63,  -106.20,  CHRL, CHRISTOPHER LAKE                 , SA,       582 ,0 MAGS 7-02
000015,   67.10,  -157.85,  PAFM, AMBLER                           , AK,       88  ,0
000016,   53.99,  -105.12,  CNLK, E CANDLE LAKE                    , SA,       599 ,0 MAGS 7-02
000017,   52.88,  -118.07,  WJA , JASPER                           , AB,       1093,0 MAGS 9-95
000018,   62.50,  -107.00,  FTR , FT. RELIANCE                     , NT,       358 ,0 MAGS 9-95
000019,   43.90,  -110.00,  GTP , NR. GRAND TETON NTL              , WY,       2704,0 GCIP 9-95
000020,   45.80,   -97.45,  RAWS, MARSHALL COUNTY RAWS -999 GCIP-  , SD,       0   ,0 Usr Rqst 8-11
000021,   43.50,   -95.60,  CHE , NR. CHEROKEE                     , IA,       490 ,0 GCIP 9-95
000028,   33.22,   -92.80,  ELD , DORADO/GOODWIN                   , AR,       87  ,0 3-93
000037,   42.04,   -94.79,  CRL , CARROLL -999 GCIP-95             , IA,       0   ,0 Usr Rqst 12-12
000050,   42.11,   -92.92,  MAR , MARSHALLTOWN -999 GCIP-95        , IA,       0   ,0 Usr Rqst 12-12
000052,   34.10,   -86.10,  ABL , NR. ALBERTVILLE                  , AL,       304 ,0 GCIP 9-95
000053,   35.20,   -84.80,  CLD , NR. CLEVELAND                    , TN,       254 ,0 GCIP 9-95
000054,   34.80,   -84.05,  BRA , BLUE RIDGE APPALACH.             , GA,       908 ,0 GCIP 9-95
000055,   36.72,   -80.97,  FRI , FRIES                            , VA,       664 ,0 GCIP 9-95
000057,   48.32,  -113.35,  MRP , MARIAS PASS -999 GCIP-95         , MT,       0   ,0 Usr Rqst 8-11
000058,   42.20,  -107.20,  PSR , PATHFINDER/SEMINOE RES           , WY,       2133,0 GCIP 9-95
000059,   42.76,  -104.45,  LUS , LUSK -999 GCIP-95                , WY,       0   ,0 GCIP 9-95
