    IGRAv2 STATION LISTING 20230723 - MODIFIED BY KYLE J GILLETT
------------------------------------------------------------------------
Entries may be added, deleted, or edited, BUT FORMAT MUST BE MAINTAINED.
------------------------------------------------------------------------

------------------------------------------------------------------------


ID,LAT,LON,EL(m),NAME
ACM00078861,  17.1170,  -61.7830,   10.0,  COOLIDGE FIELD (UA)           
AEM00041217,  24.4333,   54.6500,   16.0,  ABU DHABI INTERNATIONAL AIRPOR
AEXUAE05467,  25.2500,   55.3700,    4.0,  SHARJAH                       
AFM00040911,  36.7000,   67.2000,  378.0,  MAZAR-I-SHARIF                
AFM00040913,  36.6667,   68.9167,  433.0,  KUNDUZ                        
AFM00040938,  34.2170,   62.2170,  977.0,  HERAT                         
AFM00040948,  34.5500,   69.2167, 1791.0,  KABUL AIRPORT                 
AFM00040990,  31.5000,   65.8500, 1010.0,  KANDAHAR AIRPORT              
AGM00060355,  36.8830,    6.9000,    3.0,  SKIKDA                        
AGM00060360,  36.8330,    7.8170,    4.0,  ANNABA                        
AGM00060390,  36.6833,    3.2167,   25.0,  DAR-EL-BEIDA                  
AGM00060402,  36.7170,    5.0670,    6.0,  BEJAIA-AEROPORT               
AGM00060419,  36.2830,    6.6170,  694.0,  CONSTANTINE                   
AGM00060425,  36.2170,    1.3330,  141.0,  CHLEF                         
AGM00060430,  36.3000,    2.2330,  715.0,  MILIANA                       
AGM00060445,  36.1830,    5.2500, 1040.0,  SETIF                         
AGM00060475,  35.4170,    8.1170,  811.0,  TEBESSA                       
AGM00060490,  35.6330,   -0.6000,   90.0,  ORAN-SENIA                    
AGM00060511,  35.3500,    1.4670,  989.0,  TIARET                        
AGM00060525,  34.8000,    5.7330,   87.0,  BISKRA                        
AGM00060535,  34.6833,    3.2500, 1144.0,  DJELFA                        
AGM00060549,  33.5333,   -0.2833, 1123.0,  MECHERIA                      
AGM00060550,  33.6830,    1.0000, 1341.0,  EL-BAYADH                     
AGM00060559,  33.5000,    6.7830,   63.0,  EL-OUED                       
AGM00060566,  32.3830,    3.8170,  450.0,  GHARDAIA                      
AGM00060571,  31.5000,   -2.2500,  811.0,  BECHAR                        
AGM00060580,  31.9333,    5.4000,  152.0,  OUARGLA                       
AGM00060590,  30.5670,    2.8670,  397.0,  EL-GOLEA                      
AGM00060602,  30.1330,   -2.1670,  505.0,  BENI-ABBES                    
AGM00060607,  29.2500,    0.2830,  312.0,  TIMIMOUN                      
AGM00060611,  28.0500,    9.6330,  563.0,  IN-AMENAS                     
AGM00060620,  27.8830,   -0.2830,  263.0,  ADRAR                         
AGM00060625,  26.9667,    1.0833,  309.0,  AOULEF                        
AGM00060630,  27.2333,    2.5000,  273.0,  IN-SALAH                      
AGM00060640,  26.5000,    8.4170,  558.0,  ILLIZI                        
AGM00060656,  27.7000,   -8.1667,  443.0,  TINDOUF                       
AGM00060670,  24.2670,    9.4670,  968.0,  DJANET                        
AGM00060678,  23.8167,    5.1500, 1006.0,  IN AMGUEL                     
AGM00060680,  22.8000,    5.4333, 1377.0,  TAMANRASSET                   
AGM00060686,  21.3333,    0.9500,  398.0,  BORDJ-BADJ-MOKHTAR            
AGXUAE04843,  36.7700,    3.0500,   50.0,  ALGER                         
AJM00037575,  41.5500,   46.6670,  490.0,  ZAKATALA                      
AJM00037735,  40.7170,   46.4170,  311.0,  GANDJA                        
AJM00037747,  40.6170,   47.1500,   15.0,  EVLAKH AIRPORT                
AJM00037860,  40.5333,   50.0000,   27.0,  MASHTAGA                      
AJM00037895,  39.9830,   46.7500,  828.0,  KHANKANDY                     
AJM00037936,  39.2000,   45.4170,  885.0,  NAXCIVAN                      
AJM00037985,  38.7330,   48.8330,  -11.0,  LANKARAN                      
AMM00037686,  40.7830,   43.8330, 1512.0,  GUMRI                         
AMM00037789,  40.2169,   44.5017, 1134.0,  YEREVAN AERO                  
AOM00066152,  -7.4000,   20.8170,  776.0,  DUNDO                         
AOM00066160,  -8.8500,   13.2330,   74.0,  LUANDA                        
AOM00066285, -11.7830,   19.9170, 1329.0,  LUENA (LUSO)                  
AOM00066318, -12.8000,   15.7500, 1703.0,  HUAMBO                        
AOM00066390, -14.9330,   13.5670, 1761.0,  LUBANGO                       
AOM00066422, -15.2167,   12.1667,   52.0,  MOCAMEDES                     
AOXUAE05971, -12.3700,   13.5300,    1.0,  LOBITO                        
